filename,cluster_id,taxonomy_label
revisiting-overthinking-in-long-chain-of-thought-from-the-perspective-of-self-doubt.pdf,5,"Category: Reasoning Methods in Large Language Models

Subcategories:
1. Overthinking and Redundancy Mitigation
2. Hierarchical and Adaptive Reasoning Strategies
3. Efficiency Optimization in Reasoning Processes"
sophiavl-r1-reinforcing-mllms-reasoning-with-thinking-reward.pdf,7,"Category: Reinforcement Learning Techniques for Reasoning in Language Models

Subcategories:
1. Reward Optimization Strategies
2. Efficiency and Computational Cost Reduction
3. Intermediate Reasoning Process Regulation"
speculative-thinking-enhancing-small-model-reasoning-with-large-model-guidance-at-inference-time.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
concise-confidence-guided-compression-in-step-by-step-efficient-reasoning.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
reasonflux-hierarchical-llm-reasoning-via-scaling-thought-templates.pdf,5,"Category: Reasoning Methods in Large Language Models

Subcategories:
1. Overthinking and Redundancy Mitigation
2. Hierarchical and Adaptive Reasoning Strategies
3. Efficiency Optimization in Reasoning Processes"
adaptthink-reasoning-models-can-learn-when-to-think.pdf,3,"Category: Adaptive Reasoning Models  
Subcategories:  
1. Efficient Reasoning Techniques  
2. Dynamic Cognitive Allocation  
3. Mode-Based Reasoning Optimization"
thought-calibration-efficient-and-confident-test-time-scaling.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
adaptive-group-policy-optimization-towards-stable-training-and-token-efficient-reasoning.pdf,7,"Category: Reinforcement Learning Techniques for Reasoning in Language Models

Subcategories:
1. Reward Optimization Strategies
2. Efficiency and Computational Cost Reduction
3. Intermediate Reasoning Process Regulation"
reasoning-models-can-be-effective-without-thinking.pdf,5,"Category: Reasoning Methods in Large Language Models

Subcategories:
1. Overthinking and Redundancy Mitigation
2. Hierarchical and Adaptive Reasoning Strategies
3. Efficiency Optimization in Reasoning Processes"
accelerating-chain-of-thought-reasoning-when-goal-gradient-importance-meets-dynamic-skipping.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
efficient-single-pass-training-for-multi-turn-reasoning.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
thinkless-a-training-free-inference-efficient-method-for-reducing-reasoning-redundancy.pdf,5,"Category: Reasoning Methods in Large Language Models

Subcategories:
1. Overthinking and Redundancy Mitigation
2. Hierarchical and Adaptive Reasoning Strategies
3. Efficiency Optimization in Reasoning Processes"
hybrid-latent-reasoning-via-reinforcement-learning.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
zipr1-reinforcing-token-sparsity-in-mllms.pdf,4,"Category: Efficient Reasoning Methods in Large Language Models  
Subcategories:  
1. Token Sparsity and Selection Techniques  
2. Adaptive Attention Mechanisms  
3. Cache Management and Context Preservation Strategies"
confidence-improves-self-consistency-in-llms.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
drp-distilled-reasoning-pruning-with-skill-aware-step-decomposition-for-efficient-large-reasoning-models.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
optimal-policy-minimum-bayesian-risk.pdf,6,"Category: Advanced Reasoning Techniques in AI

Subcategories:
1. Inference Optimization Methods
2. Process Supervised Reward Models
3. Multi-Hop Reasoning Frameworks"
twilight-adaptive-attention-sparsity-with-hierarchical-top-p-pruning.pdf,4,"Category: Efficient Reasoning Methods in Large Language Models  
Subcategories:  
1. Token Sparsity and Selection Techniques  
2. Adaptive Attention Mechanisms  
3. Cache Management and Context Preservation Strategies"
rearag-knowledge-guided-reasoning-enhances-factuality-of-large-reasoning-models-with-iterative-retrieval-augmented-gener.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
between-underthinking-and-overthinking-an-empirical-study-of-reasoning-length-and-correctness-in-llms.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
innate-reasoning-is-not-enough-in-context-learning-enhances-reasoning-large-language-models-with-less-overthinking.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
can-past-experience-accelerate-llm-reasoning.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
pats-process-level-adaptive-thinking-mode-switching.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
chain-of-draft-thinking-faster-by-writing-less.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
self-training-elicits-concise-reasoning-in-large-language-models.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
accelerating-rl-for-llm-reasoning-with-optimal-advantage-regression.pdf,7,"Category: Reinforcement Learning Techniques for Reasoning in Language Models

Subcategories:
1. Reward Optimization Strategies
2. Efficiency and Computational Cost Reduction
3. Intermediate Reasoning Process Regulation"
logictree-structured-proof-exploration-for-coherent-and-rigorous-logical-reasoning-with-large-language-models.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
think-silently-think-fast-dynamic-latent-compression-of-llm-reasoning-chains.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
leveraging-constrained-monte-carlo-tree-search-to-generate-reliable-long-chain-of-thought-for-mathematical-reasoning.pdf,1,"Category: Long Chain-of-Thought Reasoning Methods  
Subcategories:  
1. Action Space Constraining and Search Strategies  
2. Negative Sample Utilization and Policy Optimization  
3. Context Management and Memory Efficiency"
incentivizing-strong-reasoning-from-weak-supervision.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
scaling-reasoning-without-attention.pdf,3,"Category: Adaptive Reasoning Models  
Subcategories:  
1. Efficient Reasoning Techniques  
2. Dynamic Cognitive Allocation  
3. Mode-Based Reasoning Optimization"
think-or-not-exploring-thinking-efficiency-in-large-reasoning-models-via-an-information-theoretic-lens.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
flashthink-an-early-exit-method-for-efficient-reasoning.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
scalable-chain-of-thoughts-via-elastic-reasoning.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
phi-decoding-adaptive-foresight-sampling-for-balanced-inference-time-exploration-and-exploitation.pdf,9,"Category: Reasoning Optimization Techniques
Subcategories:
1. Inference Efficiency Strategies
2. Adaptive Decomposition Methods
3. Self-Improvement and Distillation Approaches"
adactrl-towards-adaptive-and-controllable-reasoning-via-difficulty-aware-budgeting.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
not-all-tokens-are-what-you-need-in-thinking.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
effective-reinforcement-learning-for-reasoning-in-language-models.pdf,7,"Category: Reinforcement Learning Techniques for Reasoning in Language Models

Subcategories:
1. Reward Optimization Strategies
2. Efficiency and Computational Cost Reduction
3. Intermediate Reasoning Process Regulation"
when-reasoning-meets-compression-benchmarking-compressed-large-reasoning-models-on-complex-reasoning-tasks.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
chain-of-grounded-objectives-bridging-process-and-goal-oriented-prompting-for-code-generation.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
cot2align-cross-chain-of-thought-distillation-via-optimal-transport-alignment-for-language-models-with-different-tokeniz.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
continuous-chain-of-thought-enables-parallel-exploration-and-reasoning.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
an-empirical-study-of-llm-reasoning-ability-under-strict-output-length-constraint.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
distilling-the-implicit-multi-branch-structure-in-llms-reasoning-via-reinforcement-learning.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
scaling-over-scaling-exploring-test-time-scaling-pareto-in-large-reasoning-models.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
system-1-5-reasoning-traversal-in-language-and-latent-spaces-with-dynamic-shortcuts.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
a-survey-on-feedback-based-multi-step-reasoning-for-large-language-models-on-mathematics.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
efficient-inference-for-large-reasoning-models-a-survey.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
stepwise-informativeness-search-for-efficient-and-effective-llm-reasoning.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
autol2s-auto-long-short-reasoning-for-efficient-large-language-models.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
stepsearch-igniting-llms-search-ability-via-step-wise-proximal-policy-optimization.pdf,6,"Category: Advanced Reasoning Techniques in AI

Subcategories:
1. Inference Optimization Methods
2. Process Supervised Reward Models
3. Multi-Hop Reasoning Frameworks"
when-to-continue-thinking-adaptive-thinking-mode-switching-for-efficient-reasoning.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
teaching-large-language-models-to-reason-through-learning-and-forgetting.pdf,9,"Category: Reasoning Optimization Techniques
Subcategories:
1. Inference Efficiency Strategies
2. Adaptive Decomposition Methods
3. Self-Improvement and Distillation Approaches"
unveiling-the-key-factors-for-distilling-chain-of-thought-reasoning.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
prolonged-reasoning-is-not-all-you-need-certainty-based-adaptive-routing-for-efficient-llm-mllm-reasoning.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
chain-of-thought-tokens-are-computer-program-variables.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
lightweight-latent-verifiers-for-efficient-meta-generation-strategies.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
atom-of-thoughts-for-markov-llm-test-time-scaling.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
reasoningv-efficient-verilog-code-generation-with-adaptive-hybrid-reasoning-model.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
incorporating-token-usage-into-prompting-strategy-evaluation.pdf,4,"Category: Efficient Reasoning Methods in Large Language Models  
Subcategories:  
1. Token Sparsity and Selection Techniques  
2. Adaptive Attention Mechanisms  
3. Cache Management and Context Preservation Strategies"
an-efficient-and-precise-training-data-construction-framework-for-process-supervised-reward-model-in-mathematical-reason.pdf,6,"Category: Advanced Reasoning Techniques in AI

Subcategories:
1. Inference Optimization Methods
2. Process Supervised Reward Models
3. Multi-Hop Reasoning Frameworks"
prm-bas-enhancing-multimodal-reasoning-through-prm-guided-beam-annealing-search.pdf,6,"Category: Advanced Reasoning Techniques in AI

Subcategories:
1. Inference Optimization Methods
2. Process Supervised Reward Models
3. Multi-Hop Reasoning Frameworks"
incentivizing-dual-process-thinking-for-efficient-large-language-model-reasoning.pdf,3,"Category: Adaptive Reasoning Models  
Subcategories:  
1. Efficient Reasoning Techniques  
2. Dynamic Cognitive Allocation  
3. Mode-Based Reasoning Optimization"
token-aware-coding-flow-a-study-with-nano-surge-in-reasoning-model.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
when-more-is-less-understanding-chain-of-thought-length-in-llms.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
reasoning-path-compression-compressing-generation-trajectories-for-efficient-llm-reasoning.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
critical-thinking-which-kinds-of-complexity-govern-optimal-reasoning-length.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
internal-bias-in-reasoning-models-leads-to-overthinking.pdf,5,"Category: Reasoning Methods in Large Language Models

Subcategories:
1. Overthinking and Redundancy Mitigation
2. Hierarchical and Adaptive Reasoning Strategies
3. Efficiency Optimization in Reasoning Processes"
efficient-reasoning-via-chain-of-unconscious-thought.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
done-is-better-than-perfect-unlocking-efficient-reasoning-by-structured-multi-turn-decomposition.pdf,5,"Category: Reasoning Methods in Large Language Models

Subcategories:
1. Overthinking and Redundancy Mitigation
2. Hierarchical and Adaptive Reasoning Strategies
3. Efficiency Optimization in Reasoning Processes"
don-t-overthink-it-preferring-shorter-thinking-chains-for-improved-llm-reasoning.pdf,0,"Category: Efficient Reasoning in Large Language Models
Subcategories:
1. Dynamic Reasoning Optimization
2. Length Management and Output Efficiency
3. Adaptive Reasoning Strategies"
efficient-reasoning-for-llms-through-speculative-chain-of-thought.pdf,8,"Category: Reasoning Model Techniques
Subcategories:
1. Efficiency Optimization in Reasoning
2. Adaptive Reasoning Strategies
3. Distillation and Knowledge Transfer"
rea-rl-reflection-aware-online-reinforcement-learning-for-efficient-large-reasoning-models.pdf,2,"Category: Efficient Reasoning Methods for Large Language Models (LLMs)
Subcategories:
1. Adaptive Reasoning Techniques
2. Compression and Pruning Strategies
3. Cooperative and Reinforcement Learning Approaches"
