title,summary
adaptive-group-policy-optimization-towards-stable-training-and-token-efficient-reasoning,"method: Adaptive Group Policy Optimization (AGPO) reduces redundancy in token usage by introducing an adaptive loss function to the Group Relative Policy Optimization (GRPO) framework. The method masks out loss contributions from groups where all responses are either correct or all wrong, preventing zero-variance advantage scenarios that stall training. Additionally, it clips negative loss values to control overconfident updates and stabilize training. These modifications focus the optimization on informative samples and implicitly reward concise, effective reasoning, leading to shorter, more efficient responses without sacrificing accuracy.

algorithm-pseudocode:
For each training batch:
    For each group of responses {o_i}^G_{i=1} to question q:
        Compute rewards {r_i}^G_{i=1}
        Compute group-normalized advantage:
            A_i = (r_i - mean({r_1, ..., r_G})) / std({r_1, ..., r_G})
        If all responses in group are correct or all are wrong:
            Mask loss for this group (exclude from batch loss)
        Else:
            Compute J_GRPO(θ) as in GRPO
            Compute group loss: L_group = max(0, -J_GRPO(θ))
    Compute mean loss over unmasked groups in batch
    Update policy parameters θ using gradient of mean loss

datasets:

    MATH-500:
        Qwen2.5-7B-AGPO: accuracy: 74.6%, tokenefficiency: 23.7% reduction in average response tokens compared to GRPO (533 vs. 699 tokens)
        Qwen2.5-14B-AGPO: accuracy: 77.2%, tokenefficiency: 9.2% reduction in average response tokens compared to GRPO (521 vs. 574 tokens)

    Other datasets: Not reported"
revisiting-overthinking-in-long-chain-of-thought-from-the-perspective-of-self-doubt,"method: The proposed method reduces redundancy in token usage by introducing a two-step prompting strategy that first asks the model to assess the validity and sufficiency of the input question before proceeding to answer. If any key information is missing or ambiguous, the model is instructed to explicitly state this; otherwise, it is directed to answer with the minimum number of tokens required. This approach leverages the model's critique ability to avoid unnecessary self-verification and overthinking, thereby minimizing redundant reasoning steps and reducing overall token consumption.

algorithm-pseudocode:
1. Receive input question Q.
2. Prompt model: ""Before reasoning deeply, check whether all necessary information is available. If any key data is missing or ambiguous, explicitly state that first; otherwise, answer it with the minimum number of tokens required.""
3. If model identifies missing/ambiguous information:
      Output: ""Insufficient information"" (or similar statement).
   Else:
      Output: Concise answer to Q with minimal reasoning steps.

datasets:

    GSM8K:
        accuracy: 95.1%
        tokenefficiency: 21.8% reduction in response length (from 555 to 434 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)

    GSM8K-Zero:
        accuracy: 89.5%
        tokenefficiency: 27.5% reduction in response length (from 604 to 438 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)

    MATH-500:
        accuracy: 91.6%
        tokenefficiency: 32.3% reduction in response length (from 2847 to 1927 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)

    MiP-Formula:
        accuracy: Not reported (abstain rate used)
        tokenefficiency: 88.9% reduction in response length (from 4761 to 529 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)

    MiP-SV AMP:
        accuracy: Not reported (abstain rate used)
        tokenefficiency: 47.3% reduction in response length (from 812 to 428 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)

    MiP-GSM8K:
        accuracy: Not reported (abstain rate used)
        tokenefficiency: 57.3% reduction in response length (from 973 to 415 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)

    MiP-MATH:
        accuracy: Not reported (abstain rate used)
        tokenefficiency: 56.6% reduction in response length (from 6286 to 2728 tokens with DeepSeek-R1-Distill-Llama-70B; baseline vs. method)"
reasonflux-hierarchical-llm-reasoning-via-scaling-thought-templates,"method: ReasonFlux reduces redundancy in token usage by introducing a hierarchical reasoning framework that leverages a structured library of approximately 500 high-level thought templates. Instead of generating long, step-by-step chains of thought (CoT) or exploring multiple random reasoning paths, ReasonFlux retrieves and instantiates only the most relevant templates for each sub-problem within a complex task. This is achieved through hierarchical reinforcement learning, which optimizes the selection and sequencing of templates (template trajectory) to guide the inference LLM efficiently. During inference, ReasonFlux dynamically adapts the number and type of templates used based on problem complexity, iteratively refining the reasoning trajectory through interplay with the inference LLM. This targeted, template-driven approach minimizes unnecessary token generation by focusing on essential reasoning steps, thus reducing redundancy and improving token efficiency compared to traditional methods like Best-of-N or MCTS.

algorithm-pseudocode:
```
Given: Input problem x, structured template library Dtemp, inference LLM πinf

1. Analyze input problem x to extract core concepts: a(x) = ReasonFlux.analyze(x)
2. Configure optimal template trajectory:
   T_traj* = ReasonFlux.plan_trajectory(a(x), Dtemp)
   // T_traj* = [s1*, s2*, ..., sn*], each si* is a high-level reasoning step
3. For each step si* in T_traj*:
   a. Retrieve relevant template Ti = ReasonFlux.retrieve_template(si*, Dtemp)
   b. Instantiate reasoning step: 
      ŝi = πinf.instantiate(x, si*, Ti)
   c. Evaluate and analyze ŝi:
      δi = ReasonFlux.evaluate(T_traj*, ŝi)
   d. If refinement needed:
      T_traj* ← ReasonFlux.refine_trajectory(T_traj*, δi)
4. Repeat step 3 iteratively until solution is found or trajectory converges.
5. Output final answer based on instantiated reasoning steps.
```

datasets:

    MATH: accuracy: 91.2%, tokenefficiency: Not reported

    AIME 2024: accuracy: 56.7%, tokenefficiency: Not reported

    AMC 2023: accuracy: 85.0%, tokenefficiency: Not reported

    OlympiadBench: accuracy: 63.3%, tokenefficiency: Not reported

    Gaokao En 2023: accuracy: 83.6%, tokenefficiency: Not reported"
concise-confidence-guided-compression-in-step-by-step-efficient-reasoning,"method: Reasoning Path Compression (RPC) is a training-free method designed to reduce redundancy in token usage during the inference of reasoning-focused large language models (LLMs). RPC exploits the semantic sparsity of reasoning paths, which often contain repeated or redundant logical steps, by periodically compressing the key-value (KV) cache. At each compression interval, RPC evaluates the importance of previously generated tokens using attention scores from a selector window of recent tokens. Only the most important tokens, as determined by these scores and a fixed compression ratio, are retained in the KV cache, while less relevant tokens are discarded. This approach maintains the necessary context for accurate reasoning while significantly reducing memory and computational overhead, thereby improving inference efficiency without requiring model retraining or modification.

algorithm-pseudocode:
```
Algorithm: Reasoning Path Compression (RPC)

Input: 
    t: current generation step
    qt: query vector at step t
    CKV: current KV cache
    CQ: selector query cache
    P: compression interval
    R: selector window size
    c: compression ratio

For each generation step t:
    // Cache selector queries
    if (t - R) ≥ 0 and (t - R) mod P < R:
        Append qt to CQ

    // Compress KV cache every P steps
    if (t - R) ≥ 0 and (t - R) mod P == 0:
        For each token in CKV:
            Compute importance score using attention from all queries in CQ (selector window), all heads, and all layers, with local average pooling.
        Retain top (N·P/c) tokens in CKV based on importance scores
        Retain KV cache of selector window (last R tokens)
        Reset CQ to empty

    Output: updated CKV, updated CQ
```

datasets:

    AIME 2024:
        accuracy: 78.3% (QwQ-32B, RPC P=4096)
        tokenefficiency: 75% (4× compression; i.e., only 25% of tokens retained)

    LiveCodeBench:
        accuracy: 62.2% (QwQ-32B, RPC P=4096)
        tokenefficiency: 75% (4× compression)

    IFEval:
        accuracy: 82.6% (QwQ-32B, RPC P=4096)
        tokenefficiency: 75% (4× compression)

    AIME 2024:
        accuracy: 52.9% (DeepSeek-R1-Distill-Qwen-7B, RPC P=4096)
        tokenefficiency: 75% (4× compression)

    LiveCodeBench:
        accuracy: 35.9% (DeepSeek-R1-Distill-Qwen-7B, RPC P=4096)
        tokenefficiency: 75% (4× compression)

    IFEval:
        accuracy: 56.6% (DeepSeek-R1-Distill-Qwen-7B, RPC P=4096)
        tokenefficiency: 75% (4× compression)"
sophiavl-r1-reinforcing-mllms-reasoning-with-thinking-reward,"method: SophiaVL-R1 reduces redundancy in token usage by introducing a holistic-level thinking reward model that evaluates the quality of the entire reasoning process, including redundancy, rather than just the final answer. The model is trained to assign lower rewards to reasoning processes that contain repetitive or irrelevant steps, thus discouraging redundant token generation. Additionally, the Trust-GRPO algorithm incorporates a trustworthiness weight to downscale unreliable thinking rewards, and an annealing schedule gradually reduces the influence of the thinking reward over time, further preventing the model from exploiting reward signals by generating unnecessary or repetitive content.

algorithm-pseudocode:
```
For each training step:
    For each question q:
        Sample a group of N responses {o1, o2, ..., oN} from the old policy π_old
        For each response oi:
            Compute outcome reward Ro_i using rule-based function
            Compute thinking reward Rt_i using the thinking reward model
        Group responses into:
            G_correct = {i | Ro_i ≥ 0.5}
            G_wrong = {i | Ro_i < 0.5}
        Compute average thinking rewards:
            μ_c = mean({Rt_i | i in G_correct})
            μ_w = mean({Rt_i | i in G_wrong})
        Compute trustworthiness weight γ:
            if μ_c ≥ μ_w:
                γ = 1
            else:
                γ = exp(μ_c - μ_w)
        For each response oi:
            Compute final reward:
                Ri = Ro_i + γ * α * exp(-steps / T) * Rt_i
        Compute advantage Ai for each response:
            Ai = (Ri - mean({R1, ..., RN})) / std({R1, ..., RN})
        Update policy π_θ by maximizing:
            J_GRPO(θ) = E_q,oi [ (1/N) * sum_t min(π_θ(oi|q)/π_old(oi|q) * Ai, clip(π_θ(oi|q)/π_old(oi|q), 1-ε, 1+ε) * Ai) - β * D_KL[π_θ || π_ref] ]
```

datasets:

    MathVista: accuracy: 71.3%, tokenefficiency: Not reported

    MathVerse: accuracy: 48.9%, tokenefficiency: Not reported

    MMMU: accuracy: 61.3%, tokenefficiency: Not reported

    MME: accuracy: 2403.8 (score), tokenefficiency: Not reported

    ChartQA: accuracy: 88.5%, tokenefficiency: Not reported

    MMBench: accuracy: 84.5%, tokenefficiency: Not reported

    MMStar: accuracy: 66.7%, tokenefficiency: Not reported"
adaptthink-reasoning-models-can-learn-when-to-think,"method: AdaptThink is a reinforcement learning (RL) algorithm designed to reduce token redundancy in reasoning models by teaching them to adaptively select between ""Thinking"" (long, detailed reasoning traces) and ""NoThinking"" (direct answer generation) modes based on problem difficulty. The method uses a constrained optimization objective that encourages the model to prefer NoThinking mode when it does not harm accuracy, thus reducing unnecessary token usage. Additionally, an importance sampling strategy is employed during training to ensure the model learns from both modes, overcoming the cold-start problem and enabling exploration and exploitation of both thinking strategies throughout training. This adaptive selection leads to significant reductions in response length (token usage) while maintaining or improving accuracy.

algorithm-pseudocode:
```
Input: policy model πθ; dataset D; hyperparameters K, δ, ϵ
Initialize: reference model πθref ← πθ

1: For each x in D, sample K responses {y'i} from πθref(·|x) and compute mean reward: 
   R̄ref(x) = (1/K) ∑_{i=1}^K R(x, y'i)

2: For step = 1 to M do
    3: Update old policy πθold ← πθ and define importance sampling distribution πIS:
        πIS(y₁=a|x) = 0.5 if a=</think> or a=wstart; else πθold(y₁=a|x)
        πIS(y_t=a|x, y_{<t}) = πθold(y_t=a|x, y_{<t}) for t>1
    4: Sample batch Db from D
    5: For each x in Db, sample K responses {y_i} from πIS(·|x)
    6: For each y_i, compute advantage: 
        A(x, y) = 1(y₁=</think>)·δ + R(x, y) - R̄ref(x)
    7: Update πθ by minimizing PPO-style loss:
        L(θ) = -E_{x∼D, y∼πIS(·|x)} [ min( πθ(y|x)/πIS(y|x)·A(x, y), clip(πθ(y|x)/πIS(y|x), 1-ϵ, 1+ϵ)·A(x, y) ) ]
end for

Output: πθ
```

datasets:

    GSM8K: accuracy: 83.1%, tokenefficiency: 86.9% (response length reduction relative to original Thinking)
    MATH500: accuracy: 82.0%, tokenefficiency: 76.8%
    AIME2024: accuracy: 31.0%, tokenefficiency: 40.4%
    MMLU: accuracy: 42.2%, tokenefficiency: 38.8% (response length reduction relative to original Thinking)

Notes:
- ""tokenefficiency"" is reported as the percentage reduction in response length compared to the original Thinking mode (e.g., 86.9% means the response length is reduced by 86.9%).
- All values are taken directly from the paper's tables and text.
- Units: accuracy in %, tokenefficiency as % reduction in response length."
speculative-thinking-enhancing-small-model-reasoning-with-large-model-guidance-at-inference-time,"method: Speculative Thinking is a training-free, inference-time framework that reduces token redundancy by allowing a small (speculative) model to generate most of the output, but selectively delegates reasoning segments—identified by structural cues such as paragraph breaks (""\n\n"") followed by reflective phrases like ""wait"" or ""alternatively""—to a larger (target) model. This targeted intervention leverages the large model's superior reasoning and reflection capabilities to prevent the small model from entering inefficient, verbose, or repetitive reasoning loops, thus reducing unnecessary output length and improving token efficiency without retraining.

algorithm-pseudocode:
```
Input: Prompt P, Speculative Model S, Target Model T, control parameters n1, n2, n3, reflection/affirmation/verification keywords, negativity threshold c_max

Initialize output O = []
Initialize negativity counter c = 0

while not end_of_generation:
    S generates tokens until delimiter ""\n\n"" is encountered; append to O
    S generates next sentence (n1 tokens); append to O
    if sentence contains reflection or affirmation keyword:
        T generates n1 tokens; append to O
        S resumes generation conditioned on T's output
    else if sentence contains verification keyword:
        T generates n2 tokens; append to O
        S resumes generation conditioned on T's output
    if sentence is negative (reflection):
        c += 1
    else:
        c = 0
    if c > c_max:
        Insert ""Let us check whether there are some wrong steps."" into O
        T generates n3 tokens; append to O
        S resumes generation conditioned on T's output
    Continue until answer is complete
Return O
```

datasets:

    AIME: accuracy: 32.2%, tokenefficiency: 11.7% reduction in average output length (from 17800.0 to 15706.1 tokens; 1.5B+32B setting)
    MATH500: accuracy: 89.4%, tokenefficiency: 15.7% reduction in average output length (from 5439.1 to 4582.8 tokens; 1.5B+32B setting)
    GPQA: accuracy: 41.9%, tokenefficiency: 3.9% reduction in average output length (from 7922.0 to 7612.4 tokens; 1.5B+32B setting)
    AMC23: accuracy: 80.0%, tokenefficiency: 16.9% reduction in average output length (from 10460.8 to 8691.2 tokens; 1.5B+32B setting)

    (For 7B+32B setting:)
    AIME: accuracy: 53.3%, tokenefficiency: 0.3% reduction in average output length (from 13250.4 to 13213.6 tokens)
    MATH500: accuracy: 93.0%, tokenefficiency: 5.2% reduction in average output length (from 3975.2 to 3767.8 tokens)
    GPQA: accuracy: 52.0%, tokenefficiency: 2.6% reduction in average output length (from 6111.5 to 5952.5 tokens)
    AMC23: accuracy: 92.5%, tokenefficiency: 16.1% reduction in average output length (from 6093.8 to 5116.1 tokens)

    (For non-reasoning model Qwen-2.5-7B-Instruct + 32B:)
    AIME: accuracy: 15.6%, tokenefficiency: Not reported (output length increases)
    MATH500: accuracy: 81.8%, tokenefficiency: Not reported (output length increases)
    GPQA: accuracy: 48.0%, tokenefficiency: Not reported (output length increases)
    AMC23: accuracy: 55.0%, tokenefficiency: Not reported (output length increases)

    (For non-reasoning model Qwen-2.5-1.5B-Instruct + 32B:)
    AIME: accuracy: 10.0%, tokenefficiency: Not reported (output length increases)
    MATH500: accuracy: 48.2%, tokenefficiency: Not reported (output length increases)
    GPQA: accuracy: 33.3%, tokenefficiency: Not reported (output length increases)
    AMC23: accuracy: 30.0%, tokenefficiency: Not reported (output length increases)"
thought-calibration-efficient-and-confident-test-time-scaling,"method: 
Synergy-of-Thoughts (SoT) reduces redundancy in token usage by adaptively combining multiple small-scale (low-cost) language models (System 1) to generate diverse, intuitive candidate thoughts for each reasoning step. These candidates are cross-evaluated for confidence using a novel evaluator. Only when the confidence in System 1's outputs is low (i.e., conflicting or unfaithful), a larger, more expensive LLM (System 2) is invoked to override and correct the reasoning. This default-interventionist mechanism ensures that the high-cost model is used only when necessary, significantly reducing overall token usage while maintaining or improving accuracy.

algorithm-pseudocode:
```
Algorithm SoT
Input: Reasoning steps N, prompts {p0, ..., pN}
Initialize t = 0, at = None
while t ≤ N do
    t = t + 1
    Ht = System1(pt; at-1) // Generate K intuitive thoughts with K small LLMs
    (p, at) = ConfidenceEvaluator(Ht) // Cross-evaluate thoughts, get confidence
    if p == True then
        at = System2(pref; at) // If low confidence, invoke large LLM for intervention
    end
end
return at

Algorithm System1
Input: Task prompt p, previous thoughts a, number of LLMs K
for k in 1..K do
    a1_k = fIk(p; a) // Initial thoughts from each LLM
end
for j in 1..K do
    for k in 1..K, k ≠ j do
        h2_j→k = fIj(pinter; a1_k) // Interactions/refinements
    end
end
for k in 1..K do
    a3_k = fIk(pupdate; sum_{j≠k} h2_j→k) // Update intuitions
end
H = {a3_1, ..., a3_K}
return H

Algorithm ConfidenceEvaluator
Input: Set of thoughts H = {a1, ..., aK}
For each ai in H:
    V(ai) = (1/K) * sum_{j=1}^K fIj(peval; ai) // Cross-evaluation scores
ak = argmax_{a in H} V(a)
if V(ak) > ε then
    return (False, ak) // Accept best intuition
else
    return (True, ak) // Invoke System 2 for intervention
```

datasets:

    Game of 24: accuracy: 76%, tokenefficiency: 38.3%–75.1% reduction (compared to best baseline)
    Trivia Creative Writing: accuracy: 83.1%, tokenefficiency: 38.3%–75.1% reduction (compared to best baseline)
    Logic Grid Puzzle: accuracy: 71.5%, tokenefficiency: 38.3%–75.1% reduction (compared to best baseline)
    GSM8K: accuracy: 94.0%, tokenefficiency: 38.3%–75.1% reduction (compared to best baseline)
    Open-ended QA: accuracy: 5.2 (FairEval), tokenefficiency: 69.1% reduction (average for open-ended tasks)
    Constrained Generation: accuracy: 6.2 (FairEval), tokenefficiency: 69.1% reduction (average for open-ended tasks)

Notes:
- ""tokenefficiency"" is reported as percentage reduction in token/API cost compared to the second-best baseline, as stated in the paper.
- For open-ended tasks, the average token cost reduction is explicitly reported as 69.1%.
- For close-ended tasks, the average token cost reduction is reported as 42.6%.
- If a dataset's accuracy is reported as FairEval, the value is taken directly from the paper.
- All values are as reported; if any value is not present, it is marked as Not reported."
reasoning-models-can-be-effective-without-thinking,"method: The NoThinking method reduces redundancy in token usage by bypassing the explicit, lengthy ""thinking"" process typically generated by large reasoning models. Instead of producing a detailed chain-of-thought within a dedicated ""thinking"" box, NoThinking uses a simple prompting strategy that pre-fills the thinking box with a dummy statement (e.g., ""Okay, I think I have finished thinking."") and immediately proceeds to generate the final solution and answer. This approach eliminates the generation of verbose intermediate reasoning steps, resulting in significantly fewer output tokens. When combined with token budget control (budget forcing), NoThinking consistently achieves comparable or superior accuracy to traditional Thinking methods, especially in low-token or low-latency settings, and can be further enhanced by parallel sampling and aggregation strategies.

algorithm-pseudocode:
```
For each input problem:
    If using NoThinking:
        Prompt = [Problem Statement] + ""<|beginning ofthinking|> Okay, I think I have finished thinking. <|end ofthinking|>""
        Generate output starting after <|end ofthinking|> (i.e., directly generate final solution/answer)
    Else if using Thinking:
        Prompt = [Problem Statement]
        Generate output including detailed reasoning within <|beginning ofthinking|> ... <|end ofthinking|> and then final solution/answer
    If token budget is enforced:
        Set maxtokens parameter
        If generation reaches maxtokens before final answer:
            For Thinking: append ""<|end ofthinking|> Final Answer: ""
            For NoThinking: append ""Final Answer: ""
    If using parallel scaling:
        For N in 1..num_samples:
            Independently sample output as above
        If verifier available:
            Select correct output using verifier
        Else:
            Aggregate outputs using confidence-based selection or majority voting
    Return final answer
```

datasets:

    AIME 2024: accuracy: 77.30% (NoThinking, 3500 tokens, pass@k), tokenefficiency: 3.4x fewer tokens than Thinking (NoThinking: 955 tokens avg, Thinking: 10613 tokens avg, uncontrolled)
    AIME 2025: accuracy: 53.73% (NoThinking, 3500 tokens, pass@k), tokenefficiency: 3.4x fewer tokens than Thinking (NoThinking: 890 tokens avg, Thinking: 12423 tokens avg, uncontrolled)
    AMC 2023: accuracy: 95.00% (NoThinking, 2400 tokens, pass@k), tokenefficiency: 2.0x–5.1x fewer tokens than Thinking (NoThinking: 578 tokens avg, Thinking: 5828 tokens avg, uncontrolled)
    OlympiadBench-Math: accuracy: 71.22% (NoThinking, 3000 tokens, pass@k), tokenefficiency: 4.4x fewer tokens than Thinking (NoThinking: 829 tokens avg, Thinking: 8615 tokens avg, uncontrolled)
    LiveCodeBench: accuracy: 95.00% (NoThinking, 3000 tokens, pass@k), tokenefficiency: 2.0x fewer tokens than Thinking (NoThinking: 530 tokens avg, Thinking: 6702 tokens avg, uncontrolled)
    MiniF2F: accuracy: 36.38% (NoThinking, pass@k=2, with verifier), tokenefficiency: 3.9x fewer tokens than Thinking (NoThinking: 390 tokens avg, Thinking: 3049 tokens avg, uncontrolled)
    ProofNet: accuracy: 6.90% (NoThinking, pass@k=2, with verifier), tokenefficiency: 4.1x fewer tokens than Thinking (NoThinking: 392 tokens avg, Thinking: 3250 tokens avg, uncontrolled)

Notes:
- All accuracy values are for NoThinking under controlled token budget or as specified in the main results tables.
- Token efficiency is reported as the ratio of average tokens used by NoThinking to Thinking, as stated in the paper.
- If a dataset has multiple reported settings, the most representative (main table) value is used.
- Units: accuracy in %, token efficiency as a multiple (x) or percentage reduction."
accelerating-chain-of-thought-reasoning-when-goal-gradient-importance-meets-dynamic-skipping,"method: Adaptive GoGI-Skip reduces redundancy in token usage by combining a goal-oriented, gradient-based importance metric (Goal-Gradient Importance, GoGI) with a dynamic, context-aware skipping mechanism (Adaptive Dynamic Skipping, ADS). GoGI quantifies each token's functional contribution to the final answer by measuring the L1 norm of the gradient of the answer loss with respect to the token's intermediate representation at a selected model layer. ADS dynamically adjusts the token retention rate based on predictive entropy (model uncertainty) and enforces local coherence through an adaptive constraint on consecutive token skips. This synergy enables the model to prune non-essential tokens while preserving those critical for reasoning, resulting in substantial reductions in token count and inference latency without sacrificing accuracy.

algorithm-pseudocode:
```
For each token xt in the CoT sequence:
    1. Compute GoGI score Gt = ||∇_{h_l*} Lans||_1 at target layer l*.
    2. Compute predictive entropy Ht for xt.
    3. Normalize Ht to obtain Ĥt ∈ [0,1] using mapping M.
    4. Calculate local retention rate γt = clip(γmin + (γmax - γmin) * Ĥt, γabs_min, γabs_max).
    5. Set dynamic GoGI threshold τt = Q_{(1-γt)*100}(Gt_j | j ∈ Ivalid).
    6. Compute windowed average entropy Ḣt,W over window W.
    7. Normalize Ḣt,W to obtain ˆḢt,W using mapping M1.
    8. Set adaptive N-constraint Nt = clip(Nmin + (Nmax - Nmin) * (1 - ˆḢt,W), Nmin, Nmax).
    9. If previous consecutive prunes Ct-1 + 1 ≥ Nt, force retention.
    10. Keep token xt if (G1_t ≥ τt) OR ((G1_t < τt) AND (Ct-1 + 1 ≥ Nt)), else prune.
    11. Update consecutive prune counter: Ct = (Ct-1 + 1) * (1 - Kt), where Kt is the keep indicator.
After processing, use the pruned sequence for supervised fine-tuning.
```

datasets:

    AIME 2025: accuracy: 5.2, tokenefficiency: 60%
    AIME 2024: accuracy: 14.1, tokenefficiency: 60%
    GPQA Diamond: accuracy: 29.3, tokenefficiency: 52%
    GSM8K: accuracy: 89.9, tokenefficiency: 44%
    Gemma3-1B-it (AIME'25): accuracy: 0.6, tokenefficiency: Not reported
    Gemma3-1B-it (AIME'24): accuracy: 2.9, tokenefficiency: Not reported
    Gemma3-1B-it (GPQA): accuracy: 18.4, tokenefficiency: Not reported
    Gemma3-1B-it (GSM8K): accuracy: 70.2, tokenefficiency: Not reported
    Gemma3-12B-it (AIME'25): accuracy: 8.0, tokenefficiency: Not reported
    Gemma3-12B-it (AIME'24): accuracy: 22.9, tokenefficiency: Not reported
    Gemma3-12B-it (GPQA): accuracy: 38.4, tokenefficiency: Not reported
    Gemma3-12B-it (GSM8K): accuracy: 95.5, tokenefficiency: Not reported
    Qwen2.5-3B-it (AIME'25): accuracy: 2.0, tokenefficiency: Not reported
    Qwen2.5-3B-it (AIME'24): accuracy: 7.3, tokenefficiency: Not reported
    Qwen2.5-3B-it (GPQA): accuracy: 24.6, tokenefficiency: Not reported
    Qwen2.5-3B-it (GSM8K): accuracy: 78.9, tokenefficiency: Not reported
    Qwen2.5-7B-it (AIME'25): accuracy: 6.1, tokenefficiency: Not reported
    Qwen2.5-7B-it (AIME'24): accuracy: 18.1, tokenefficiency: Not reported
    Qwen2.5-7B-it (GPQA): accuracy: 35.7, tokenefficiency: Not reported
    Qwen2.5-7B-it (GSM8K): accuracy: 85.1, tokenefficiency: Not reported

Notes:
- ""tokenefficiency"" is calculated as the average proportion of tokens retained compared to the original CoT length (e.g., 0.6 = 60%).
- If not explicitly reported for a dataset/model, ""Not reported"" is used as per instructions."
