title,category
Accelerating Chain-of-Thought Reasoning: When Goal-Gradient Importance Meets Dynamic Skipping,both
Hunyuan-TurboS: Advancing Large Language Models through Mamba-Transformer Synergy and Adaptive Chain-of-Thought,both
A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency,both
Reasoning with OmniThought: A Large CoT Dataset with Verbosity and Cognitive Difficulty Annotations,both
DSDrive: Distilling Large Language Model for Lightweight End-to-End Autonomous Driving with Unified Reasoning and Planning,both
Let Me Think! A Long Chain-of-Thought Can Be Worth Exponentially Many Short Ones,both
THINK-Bench: Evaluating Thinking Efficiency and Chain-of-Thought Quality of Large Reasoning Models,both
"ThinkSwitcher: When to Think Hard, When to Think Fast",both
Thought-Augmented Policy Optimization: Bridging External Guidance and Internal Capabilities,both
Continuous Chain of Thought Enables Parallel Exploration and Reasoning,both
DRP: Distilled Reasoning Pruning with Skill-aware Step Decomposition for Efficient Large Reasoning Models,both
Recall with Reasoning: Chain-of-Thought Distillation for Mamba's Long-Context Memory and Extrapolation,both
Long-Short Chain-of-Thought Mixture Supervised Fine-Tuning Eliciting Efficient Reasoning in Large Language Models,both
RBF++: Quantifying and Optimizing Reasoning Boundaries across Measurable and Unmeasurable Capabilities for Chain-of-Thought Reasoning,both
Causal Distillation: Transferring Structured Explanations from Large to Compact Language Models,both
The Quest for Efficient Reasoning: A Data-Centric Benchmark to CoT Distillation,both
Select2Reason: Efficient Instruction-Tuning Data Selection for Long-CoT Reasoning,both
AutoL2S: Auto Long-Short Reasoning for Efficient Large Language Models,both
Can Pruning Improve Reasoning? Revisiting Long-CoT Compression with Capability in Mind for Better Reasoning,both
TACO: Think-Answer Consistency for Optimized Long-Chain Reasoning and Efficient Data Learning via Reinforcement Learning in LVLMs,both
GroverGPT-2: Simulating Grover's Algorithm via Chain-of-Thought Reasoning and Quantum-Native Tokenization,both
ConCISE: Confidence-guided Compression in Step-by-step Efficient Reasoning,both
Think or Not? Exploring Thinking Efficiency in Large Reasoning Models via an Information-Theoretic Lens,both
CoThink: Token-Efficient Reasoning via Instruct Models Guiding Reasoning Models,both
Thinking Fast and Right: Balancing Accuracy and Reasoning Length with Adaptive Rewards,both
Learning Composable Chains-of-Thought,both
Done Is Better than Perfect: Unlocking Efficient Reasoning by Structured Multi-Turn Decomposition,both
Reasoning Meets Personalization: Unleashing the Potential of Large Reasoning Model for Personalized Generation,both
MilChat: Introducing Chain of Thought Reasoning and GRPO to a Multimodal Small Language Model for Remote Sensing,both
Large Language Model-driven Security Assistant for Internet of Things via Chain-of-Thought,both
AdaCoT: Pareto-Optimal Adaptive Chain-of-Thought Triggering via Reinforcement Learning,both
Thinker: Learning to Think Fast and Slow,both
Value-Guided Search for Efficient Chain-of-Thought Reasoning,both
Distilling LLM Agent into Small Models with Retrieval and Code Tools,both
AgentThink: A Unified Framework for Tool-Augmented Chain-of-Thought Reasoning in Vision-Language Models for Autonomous Driving,both
Holistic Capability Preservation: Towards Compact Yet Comprehensive Reasoning Models,both
When Reasoning Meets Compression: Benchmarking Compressed Large Reasoning Models on Complex Reasoning Tasks,both
GRPO-LEAD: A Difficulty-Aware Reinforcement Learning Approach for Concise Mathematical Reasoning in Language Models,both
Think When You Need: Self-Adaptive Chain-of-Thought Learning,both
Reason Like a Radiologist: Chain-of-Thought and Reinforcement Learning for Verifiable Report Generation,both
Synthetic Data Generation & Multi-Step RL for Reasoning & Tool Use,both
Efficient Reasoning for LLMs through Speculative Chain-of-Thought,both
Between Underthinking and Overthinking: An Empirical Study of Reasoning Length and correctness in LLMs,both
Synergizing RAG and Reasoning: A Systematic Review,both
From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,both
Efficient Reasoning Models: A Survey,both
Trade-offs in Large Reasoning Models: An Empirical Analysis of Deliberative and Adaptive Reasoning over Foundational Capabilities,both
Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs,both
Adaptive Group Policy Optimization: Towards Stable Training and Token-Efficient Reasoning,both
FReM: A Flexible Reasoning Mechanism for Balancing Quick and Slow Thinking in Long-Context Question Answering,both
A Survey on the Optimization of Large Language Model-based Agents,both
Integrating Chain-of-Thought for Multimodal Alignment: A Study on 3D Vision-Language Learning,both
The First Few Tokens Are All You Need: An Efficient and Effective Unsupervised Prefix Fine-Tuning Method for Reasoning Models,both
Grounded Chain-of-Thought for Multimodal Large Language Models,both
OptMetaOpenFOAM: Large Language Model Driven Chain of Thought for Sensitivity Analysis and Parameter Optimization based on CFD,both
Harnessing the Reasoning Economy: A Survey of Efficient Reasoning for Large Language Models,both
Efficient Inference for Large Reasoning Models: A Survey,both
CoT2Align: Cross-Chain of Thought Distillation via Optimal Transport Alignment for Language Models with Different Tokenizers,both
Self-Training Elicits Concise Reasoning in Large Language Models,both
"Thinking Slow, Fast: Scaling Inference Compute with Distilled Reasoners",both
"When One LLM Drools, Multi-LLM Collaboration Rules",both
RaCT: Ranking-aware Chain-of-Thought Optimization for LLMs,both
RePrompt: Planning by Automatic Prompt Engineering for Large Language Models Agents,both
Towards Better Chain-of-Thought: A Reflection on Effectiveness and Faithfulness,both
Communication-Efficient Hybrid Language Model via Uncertainty-Aware Opportunistic and Compressed Transmission,chain_of_thought_reduction
HeteroSpec: Leveraging Contextual Heterogeneity for Efficient Speculative Decoding,chain_of_thought_reduction
EfficientLLM: Efficiency in Large Language Models,chain_of_thought_reduction
