Team Cohere, :, Aakanksha and 227 more,neither
title,category,,
Accelerating Chain-of-Thought Reasoning: When Goal-Gradient Importance Meets Dynamic Skipping,both,,
Hunyuan-TurboS: Advancing Large Language Models through Mamba-Transformer Synergy and Adaptive Chain-of-Thought,both,,
A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency,both,,
Reasoning with OmniThought: A Large CoT Dataset with Verbosity and Cognitive Difficulty Annotations,both,,
DSDrive: Distilling Large Language Model for Lightweight End-to-End Autonomous Driving with Unified Reasoning and Planning,both,,
Let Me Think! A Long Chain-of-Thought Can Be Worth Exponentially Many Short Ones,both,,
THINK-Bench: Evaluating Thinking Efficiency and Chain-of-Thought Quality of Large Reasoning Models,both,,
"ThinkSwitcher: When to Think Hard, When to Think Fast",both,,
Thought-Augmented Policy Optimization: Bridging External Guidance and Internal Capabilities,both,,
Continuous Chain of Thought Enables Parallel Exploration and Reasoning,both,,
DRP: Distilled Reasoning Pruning with Skill-aware Step Decomposition for Efficient Large Reasoning Models,both,,
Recall with Reasoning: Chain-of-Thought Distillation for Mamba's Long-Context Memory and Extrapolation,both,,
Long-Short Chain-of-Thought Mixture Supervised Fine-Tuning Eliciting Efficient Reasoning in Large Language Models,both,,
RBF++: Quantifying and Optimizing Reasoning Boundaries across Measurable and Unmeasurable Capabilities for Chain-of-Thought Reasoning,both,,
Causal Distillation: Transferring Structured Explanations from Large to Compact Language Models,both,,
The Quest for Efficient Reasoning: A Data-Centric Benchmark to CoT Distillation,both,,
Select2Reason: Efficient Instruction-Tuning Data Selection for Long-CoT Reasoning,both,,
AutoL2S: Auto Long-Short Reasoning for Efficient Large Language Models,both,,
Can Pruning Improve Reasoning? Revisiting Long-CoT Compression with Capability in Mind for Better Reasoning,both,,
TACO: Think-Answer Consistency for Optimized Long-Chain Reasoning and Efficient Data Learning via Reinforcement Learning in LVLMs,both,,
GroverGPT-2: Simulating Grover's Algorithm via Chain-of-Thought Reasoning and Quantum-Native Tokenization,both,,
ConCISE: Confidence-guided Compression in Step-by-step Efficient Reasoning,both,,
Think or Not? Exploring Thinking Efficiency in Large Reasoning Models via an Information-Theoretic Lens,both,,
CoThink: Token-Efficient Reasoning via Instruct Models Guiding Reasoning Models,both,,
Thinking Fast and Right: Balancing Accuracy and Reasoning Length with Adaptive Rewards,both,,
Learning Composable Chains-of-Thought,both,,
