title,filename,is_relevant,one_line_review,labels,,,
Revisiting Overthinking in Long Chain-of-Thought from the Perspective of Self-Doubt,revisiting-overthinking-in-long-chain-of-thought-from-the-perspective-of-self-doubt.pdf,True,"The paper addresses reducing redundancy in chain-of-thought reasoning by introducing a method to minimize overthinking and self-doubt, thus improving computational efficiency.","CoT efficiency, overthinking reduction, self-doubt, reasoning models, prompt engineering.",,,
exploring-the-potential-of-offline-rl-for-reasoning-in-llms-a-preliminary-study.pdf,exploring-the-potential-of-offline-rl-for-reasoning-in-llms-a-preliminary-study.pdf,False,"The paper focuses on enhancing reasoning capabilities using Offline RL methods, not specifically on reducing redundancy or improving computational efficiency in CoT reasoning.","Offline RL, reasoning enhancement, LLMs, Direct Preference Optimization.",,,
reinforcing-multi-turn-reasoning-in-llm-agents-via-turn-level-credit-assignment.pdf,reinforcing-multi-turn-reasoning-in-llm-agents-via-turn-level-credit-assignment.pdf,False,"The paper focuses on enhancing reasoning capabilities using reinforcement learning, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Reinforcement Learning, Multi-turn Reasoning, Markov Decision Processes, Credit Assignment",,,
OmniAD: Detect and Understand Industrial Anomaly via Multimodal Reasoning,omniad-detect-and-understand-industrial-anomaly-via-multimodal-reasoning.pdf,False,"The paper focuses on anomaly detection and understanding, not on improving the efficiency of chain-of-thought reasoning.","Anomaly Detection, Multimodal Reasoning, Visual Perception",,,
stabilizing-reasoning-in-medical-llms-with-continued-pretraining-and-reasoning-preference-optimization.pdf,stabilizing-reasoning-in-medical-llms-with-continued-pretraining-and-reasoning-preference-optimization.pdf,False,"The paper focuses on optimizing a language model for accuracy and stable reasoning in the Japanese medical domain, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Medical LLM, Reasoning Stability, Japanese Domain, Accuracy Optimization",,,
superficial-self-improved-reasoners-benefit-from-model-merging.pdf,superficial-self-improved-reasoners-benefit-from-model-merging.pdf,False,"The paper focuses on improving generalization and preventing superficial learning in self-improving language models, not specifically on CoT efficiency.","Self-improvement, generalization, model merging, language models.",,,
chain-of-thought-matters-improving-long-context-language-models-with-reasoning-path-supervision.pdf,chain-of-thought-matters-improving-long-context-language-models-with-reasoning-path-supervision.pdf,False,"The paper focuses on enhancing reasoning explainability and attribution in LLMs using knowledge graphs, not on reducing redundancy or improving computational efficiency in CoT reasoning.","Reasoning explainability, knowledge graphs, attribution, LLMs.",,,
Infi-MMR: Curriculum-based Unlocking Multimodal Reasoning via Phased Reinforcement Learning in Multimodal Small Language Models,r1-sharevl-incentivizing-reasoning-capability-of-multimodal-large-language-models-via-share-grpo.pdf,False,"The paper focuses on enhancing reasoning capabilities in multimodal small language models, not on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Multimodal Reasoning, MSLMs, Curriculum Learning",,,
sophiavl-r1-reinforcing-mllms-reasoning-with-thinking-reward.pdf,sophiavl-r1-reinforcing-mllms-reasoning-with-thinking-reward.pdf,True,The paper discusses improving reasoning efficiency by introducing a thinking reward model and a method to assign trustworthiness weights to enhance reasoning strategies in multimodal large language models.,"Reasoning Efficiency, Reward Model, Trustworthiness, Multimodal Large Language Models",,,
Pseudo-Relevance Feedback for Multiple Representation Dense Retrieval,pseudo-relevance-feedback-can-improve-zero-shot-llm-based-dense-retrieval.pdf,False,"The paper focuses on improving information retrieval using pseudo-relevance feedback and dense retrieval, not on CoT reasoning efficiency.","Information Retrieval, Dense Retrieval, Pseudo-Relevance Feedback, BERT",,,
