,title,category,,
1,Memory-Efficient LLM Training by Various-Grained Low-Rank Projection of Gradients,neither,,
2,Multi-Agent System for Comprehensive Soccer Understanding,neither,,
3,RoboOS: A Hierarchical Embodied Framework for Cross-Embodiment and Multi-Agent Collaboration,neither,,
4,Bring Reason to Vision: Understanding Perception and Reasoning through Model Merging,reasoning_improvement,,
5,Technical Report: Evaluating Goal Drift in Language Model Agents,neither,,
6,Program Semantic Inequivalence Game with Large Language Models,neither,,
7,Building a Human-Verified Clinical Reasoning Dataset via a Human LLM Hybrid Pipeline for Trustworthy Medical AI,reasoning_improvement,,
8,Towards Multi-Agent Reasoning Systems for Collaborative Expertise Delegation: An Exploratory Design Study,neither,,
9,When repeats drive the vocabulary: a Byte-Pair Encoding analysis of T2T primate genomes,neither,,
10,ChronoSteer: Bridging Large Language Model and Time Series Foundation Model via Synthetic Data,neither,,
11,ServeGen: Workload Characterization and Generation of Large Language Model Serving in Production,neither,,
12,Rethinking Prompt Optimizers: From Prompt Merits to Optimization,reasoning_improvement,,
13,Sample Complexity of Distributionally Robust Average-Reward Reinforcement Learning,neither,,
14,DIF: A Framework for Benchmarking and Verifying Implicit Bias in LLMs,neither,,
15,Intelligent segmentation of Chinese address elements combining textual and spatial semantic features,neither,,
16,From archives to AI: Residential property data across three decades in Brunei Darussalam,neither,,
17,RM-R1: Reward Modeling as Reasoning,reasoning_improvement,,
18,Quantitative Analysis of Performance Drop in DeepSeek Model Quantization,neither,,
19,DeepSeek vs. ChatGPT vs. Claude: A comparative study for scientific computing and scientific machine learning tasks,neither,,
20,DanceGRPO: Unleashing GRPO on Visual Generation,neither,,
21,Accelerating Chain-of-Thought Reasoning: When Goal-Gradient Importance Meets Dynamic Skipping,both,,
22,Tests as Prompt: A Test-Driven-Development Benchmark for LLM Code Generation,neither,,
23,BARREL: Boundary-Aware Reasoning for Factual and Reliable LRMs,reasoning_improvement,,
24,Social Sycophancy: A Broader Understanding of LLM Sycophancy,neither,,
25,"DeepEyes: Incentivizing ""Thinking with Images"" via Reinforcement Learning",reasoning_improvement,,
26,Exploring Causes of Representational Similarity in Machine Learning Models,neither,,
27,Context-Free Synthetic Data Mitigates Forgetting,neither,,
28,Multilingual Test-Time Scaling via Initial Thought Transfer,neither,,
29,FlowKV: Enhancing Multi-Turn Conversational Coherence in LLMs via Isolated Key-Value Cache Management,reasoning_improvement,,
30,Large Language Model Driven Development of Turbulence Models,neither,,
31,Patterns and Mechanisms of Contrastive Activation Engineering,neither,,
32,Evaluating LLM Metrics Through Real-World Capabilities,neither,,
33,CEC-Zero: Chinese Error Correction Solution Based on LLM,neither,,
34,Aitomia: Your Intelligent Assistant for AI-Driven Atomistic and Quantum Chemical Simulations,neither,,
35,Fine-tuning a large language model for automating computational fluid dynamics simulations,neither,,
36,R-Bench: Graduate-level Multi-disciplinary Benchmarks for LLM & MLLM Complex Reasoning Evaluation,reasoning_improvement,,
37,T2I-R1: Reinforcing Image Generation with Collaborative Semantic-level and Token-level CoT,reasoning_improvement,,
38,Thoughts without Thinking: Reconsidering the Explanatory Value of Chain-of-Thought Reasoning in LLMs through Agentic Pipelines,reasoning_improvement,,
39,LAMeD: LLM-generated Annotations for Memory Leak Detection,neither,,
40,Hunyuan-TurboS: Advancing Large Language Models through Mamba-Transformer Synergy and Adaptive Chain-of-Thought,both,,
41,MentalMAC: Enhancing Large Language Models for Detecting Mental Manipulation via Multi-Task Anti-Curriculum Distillation,reasoning_improvement,,
42,When Less Language is More: Language-Reasoning Disentanglement Makes LLMs Better Multilingual Reasoners,reasoning_improvement,,
43,NL-Debugging: Exploiting Natural Language as an Intermediate Representation for Code Debugging,neither,,
44,Mitigating Cyber Risk in the Age of Open-Weight LLMs: Policy Gaps and Technical Realities,neither,,
45,Mining Hidden Thoughts from Texts: Evaluating Continual Pretraining with Synthetic Data for LLM Reasoning,reasoning_improvement,,
46,Not All Thoughts are Generated Equal: Efficient LLM Reasoning via Multi-Turn Reinforcement Learning,reasoning_improvement,,
47,Class Distillation with Mahalanobis Contrast: An Efficient Training Paradigm for Pragmatic Language Understanding Tasks,reasoning_improvement,,
48,CoT-Vid: Dynamic Chain-of-Thought Routing with Self Verification for Training-Free Video Reasoning,reasoning_improvement,,
49,On Membership Inference Attacks in Knowledge Distillation,neither,,
50,Video-SafetyBench: A Benchmark for Safety Evaluation of Video LVLMs,neither,,
51,Arrow: Adaptive Scheduling Mechanisms for Disaggregated LLM Inference Architecture,neither,,
52,Communication-Efficient Hybrid Language Model via Uncertainty-Aware Opportunistic and Compressed Transmission,chain_of_thought_reduction,,
53,OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,reasoning_improvement,,
54,VeriReason: Reinforcement Learning with Testbench Feedback for Reasoning-Enhanced Verilog Generation,reasoning_improvement,,
